tag	oldtag2count	oldexttag2count	newtag2cout	newtitleexttag2count	newdescexttag2count	classifer	entropy	entropyv2
网络游戏	6777	5919	7871	935	2606	NULL	5.36103433945995	5.21893506053171
城市风光	6740	23	4657	3	14	NULL	1.27703425946614	0
快闪	6740	1242	3641	149	168	NULL	5.46584677349838	4.62700883372293
礼品饰品	6733	27	5096	11	19	NULL	2.84648038613487	1.79175946922805
民歌	6715	404	3532	171	249	NULL	5.19014906829076	4.28803795949975
现货	6685	11425	8981	6671	9979	NULL	6.4695632463586	5.66419349660433
软件	6681	103544	16002	34758	85067	NULL	7.41820353680335	6.86167907829453
恋爱	6662	47044	12572	11887	14487	NULL	6.64370780189703	5.842747712618
设计师	6641	9893	4889	4279	9718	NULL	6.10402901604887	6.29379267644412
宅男	6624	6721	5848	1337	1855	NULL	5.76694332601471	4.37250187649605
健身	6583	34529	14374	18047	28824	NULL	6.96668529125388	6.07314644760775
国服	6557	15725	9339	4927	5267	NULL	6.51793272731377	5.68017877842895
宅女	6541	2277	4340	258	465	NULL	5.01536253348505	2.13943133039306
内外装修	6522	115	10614	79	151	NULL	4.37404900458062	4.05803667881152
高抛低吸	6484	635	7724	243	435	NULL	4.67103271860009	4.36362945205595
微博营销	6477	327	7007	90	269	NULL	4.05459220071694	3.58511918917594
地理	6411	14192	5470	3492	3117	NULL	6.50916359056208	5.45240051595462
白银等	6397	135	2853	1	94	NULL	0.693147180559945	0.693147180559945
恐怖	6390	9071	3940	1285	4883	NULL	6.21410873419635	4.88229025236114
母婴用品	6382	2158	5462	679	1229	NULL	5.10844112174868	4.78238385478552
白羊座	6380	1844	2240	496	774	NULL	5.32281719627348	4.01226157879965
明星	6373	46392	9177	7949	22627	NULL	6.79366291365659	6.10626509916907
麻将	6308	27875	5062	7211	9557	NULL	6.78514403215194	6.05599792158469
电视剧	6252	8084	6972	2638	9540	NULL	5.49613974095029	4.07661060836114
免费资料	6231	728	5229	372	1125	NULL	4.67888803328834	4.4242348815261
折扣	6147	16493	7616	6650	10815	NULL	6.1201310110324	5.10879101912873
中餐	6136	1105	2714	269	511	NULL	5.29111937366632	4.28641764505415
化学	6129	37398	4506	5668	4332	NULL	6.70051987974956	5.6761498393981
拼车	6120	28962	21623	48846	65584	NULL	6.89329533195229	5.74320427148415
海贼王	6100	10277	6684	3916	4250	NULL	6.26012992237241	5.22490279156311
炒股	6071	14658	9833	2792	13733	NULL	6.53028684132714	5.84304329898598
双子座	6070	1880	2037	461	736	NULL	5.58809444294587	4.39056412460072
景观	6040	5362	8941	1716	2316	NULL	6.24562269115782	5.27393137472326
考研	6030	60864	14672	34774	42030	NULL	6.70496145021377	6.3397437568717
淘宝刷单	6012	6097	3634	1403	1736	NULL	5.29470835500422	4.58844755012109
名师	5999	6869	4092	2978	3652	NULL	6.31508774854274	4.28892659186648
热血	5973	22286	5179	4482	5217	NULL	6.71884550821065	5.62930994105736
处女座	5960	1218	2008	226	451	NULL	5.24461081812411	3.76455875398991
集合竞价	5913	404	6865	167	273	NULL	4.31639051218673	4.16787803649042
股票技术	5900	1550	9436	569	1612	NULL	4.97393258430203	5.30399547754323
天蝎座	5892	1620	2179	375	615	NULL	5.42801394238326	3.87006817890419
水瓶座	5887	1723	2031	410	585	NULL	5.32506585432907	3.99864020012154
野营	5887	1055	5485	203	1016	NULL	5.13978498180188	4.2130650484341
购房	5881	7814	9120	4165	7320	NULL	6.13873596377297	5.69631034055071
瘦身	5871	7123	4675	2137	3565	NULL	5.44151647502714	4.29892521608872
射手座	5868	1370	1997	363	502	NULL	5.16339226648945	3.6531224349817
乡村	5846	11763	4664	4788	2971	NULL	6.66661854664447	5.06414428336724
天文	5824	4732	4187	1114	1518	NULL	5.96934569564686	5.41031201665402
哲学	5787	8187	5610	2933	2971	NULL	6.4892764170157	6.04441786035229
早教	5774	6605	5696	2499	5864	NULL	5.21380450775392	3.76178820113387
星座	5770	64068	9089	17106	21400	NULL	6.35450118941907	5.82506779493331
黑客	5762	9739	5022	1476	1502	NULL	6.10270268097915	5.4129828462143
狮子座	5752	1942	1968	438	663	NULL	5.47742652852349	4.33301523841325
房地产	5752	16932	7519	9587	13675	NULL	6.27265383208467	5.85685363860694
房价	5712	1767	7522	133	1111	NULL	4.88180131083637	4.34943140080656
双鱼座	5699	1676	1975	442	714	NULL	5.43454747822594	4.14332065713486
珠宝首饰	5674	889	4801	1005	1253	NULL	5.20809467186329	4.39767547935517
土木	5658	20119	9647	3173	1383	NULL	6.19599630365164	5.43762536931392
考试	5645	140677	10731	18475	46863	NULL	6.96386186780669	6.36652722382032
金牛座	5644	1187	1899	317	588	NULL	5.31076274952717	4.00585716249329
天秤座	5637	963	1828	285	540	NULL	5.26783917829926	3.93760975735815
护肤品	5628	9939	4116	1933	3750	NULL	5.94674600621982	4.96444374116766
陈奕迅	5626	3646	2832	937	1008	NULL	5.44179415033034	4.12943307385126
tfboys	10451	71659	18603	21787	28279	NULL	5.75828777837677	4.27518222755778
技术	5620	246055	10782	41088	145171	NULL	7.77999708777983	7.26342310199194
性格	5596	10611	2180	352	4312	NULL	5.48674016894079	3.90795685558798
奋斗	5595	112975	4823	9746	27053	NULL	6.39128106335188	6.39479438715248
穿越	5580	35825	6148	15404	12230	NULL	5.71032811657472	3.48392374740057
富豪	5573	8729	2579	2564	847	NULL	4.95749731258863	5.74581933238515
奇迹暖暖	5564	15140	3651	4493	2810	NULL	5.30210030900126	4.42247334196703
奢侈品	5538	3511	5248	2173	2398	NULL	5.63317979186052	4.61141839391791
分数线	5530	283	2528	18	242	NULL	3.46761799076894	2.18732231884925
餐饮	5523	18496	12309	13793	18064	NULL	6.5402709631314	5.73959947554929
诗歌	5521	3847	4139	1214	2343	NULL	6.10770414836531	5.17847774729511
维权	5520	15791	9093	8318	9284	NULL	7.06912582692785	6.50787808843578
巨蟹座	5496	1147	1909	269	526	NULL	5.17884968947468	3.74974723897258
投资理财	5485	12165	6818	2745	6346	NULL	6.20138015112663	5.81478410010078
阅读	5479	18929	3749	5391	13322	NULL	6.58206389932492	5.8442097708687
萌腐宅	5462	60	5143	30	44	NULL	3.98676841325923	2.0316900029887
摩羯座	5452	853	1790	263	363	NULL	5.13113407669256	3.70841186452383
北京	5452	180065	10823	106324	77951	NULL	7.76058807280384	7.62165682703151
魔幻	5442	4958	2611	1088	933	NULL	6.3318124365809	5.22593683692686
中介	5431	17420	6316	7322	18873	NULL	6.56193671679894	6.13553820108282
个股推荐	5403	41	8483	2	35	NULL	1.38629436111989	0.693147180559945
宝宝	5378	103008	9339	15333	33806	NULL	7.17108956200026	6.28099570878667
名侦探柯南	5341	2355	3143	1066	798	NULL	5.34958392903765	3.77244001742124
曲婉婷	5330	79	1745	13	15	NULL	3.32036232303968	1.83437197028162
后宫	5329	77524	6288	34334	9125	NULL	6.84230844946112	6.09169412204906
查分	5315	230	3035	18	57	NULL	3.63857313603231	2.14395220064387
魔法	5278	17685	2274	5577	4134	NULL	6.73361955813142	5.85721903827589
征婚	5275	14112	16960	13937	19514	NULL	5.4819034188169	5.30208222772084
饮食	5231	4827	4233	813	2708	NULL	5.85708387264836	5.18663301251303
支付宝借条	5193	4261	612	744	861	NULL	3.99754459875344	3.14206846730344
运动户外	5147	220	4433	114	93	NULL	4.73524395155057	4.1970599860718
旅行	5144	34943	8875	7635	16746	NULL	6.6615641897017	6.07878165519187
